Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
24,3,17-12-2014,15194,1080,1,1,0,0
25,3,17-12-2014,12414,1655,1,1,0,0
1,2,16-12-2014,7739,823,1,1,0,0
2,2,16-12-2014,9499,866,1,1,0,0
3,2,16-12-2014,13072,1204,1,1,0,0
4,2,16-12-2014,12776,1581,1,1,0,0
5,2,16-12-2014,8665,764,1,1,0,0
6,2,16-12-2014,7723,752,1,1,0,0
7,2,16-12-2014,14580,1311,1,1,0,0
8,2,16-12-2014,9550,925,1,1,0,0
9,2,16-12-2014,10291,776,1,1,0,0
10,2,16-12-2014,7707,727,1,1,0,0
11,2,16-12-2014,16462,1745,1,1,0,0
12,2,16-12-2014,12667,1247,1,1,0,0
14,2,16-12-2014,9648,896,1,1,0,0
15,2,16-12-2014,9733,798,1,1,0,0
16,2,16-12-2014,13556,1225,1,1,0,0
17,2,16-12-2014,14160,1348,1,1,0,0
18,2,16-12-2014,11602,968,1,1,0,0
19,2,16-12-2014,12102,938,1,1,0,0
21,2,16-12-2014,9478,709,1,1,0,0
23,2,16-12-2014,8899,662,1,1,0,0
24,2,16-12-2014,16729,1233,1,1,0,0
25,2,16-12-2014,15206,1922,1,1,0,0
1,1,15-12-2014,8069,871,1,1,0,0
2,1,15-12-2014,10419,909,1,1,0,0
3,1,15-12-2014,13472,1115,1,1,0,0
4,1,15-12-2014,15110,1829,1,1,0,0
5,1,15-12-2014,10870,907,1,1,0,0
6,1,15-12-2014,9437,856,1,1,0,0
7,1,15-12-2014,16763,1362,1,1,0,0
8,1,15-12-2014,10956,1014,1,1,0,0
9,1,15-12-2014,12767,834,1,1,0,0
10,1,15-12-2014,8833,759,1,1,0,0
11,1,15-12-2014,17724,1788,1,1,0,0
12,1,15-12-2014,14805,1322,1,1,0,0
14,1,15-12-2014,9442,892,1,1,0,0
15,1,15-12-2014,13256,1005,1,1,0,0
16,1,15-12-2014,13682,1296,1,1,0,0
17,1,15-12-2014,16251,1420,1,1,0,0
18,1,15-12-2014,12403,1073,1,1,0,0
19,1,15-12-2014,12432,976,1,1,0,0
21,1,15-12-2014,12123,810,1,1,0,0
23,1,15-12-2014,12466,800,1,1,0,0
24,1,15-12-2014,19168,1317,1,1,0,0
25,1,15-12-2014,16649,2083,1,1,0,0
1,7,14-12-2014,0,0,0,0,0,0
2,7,14-12-2014,0,0,0,0,0,0
3,7,14-12-2014,0,0,0,0,0,0
4,7,14-12-2014,0,0,0,0,0,0
5,7,14-12-2014,0,0,0,0,0,0
6,7,14-12-2014,0,0,0,0,0,0
7,7,14-12-2014,0,0,0,0,0,0
8,7,14-12-2014,0,0,0,0,0,0
9,7,14-12-2014,0,0,0,0,0,0
10,7,14-12-2014,0,0,0,0,0,0
11,7,14-12-2014,0,0,0,0,0,0
12,7,14-12-2014,0,0,0,0,0,0
14,7,14-12-2014,0,0,0,0,0,0
15,7,14-12-2014,0,0,0,0,0,0
16,7,14-12-2014,0,0,0,0,0,0
17,7,14-12-2014,0,0,0,0,0,0
18,7,14-12-2014,0,0,0,0,0,0
19,7,14-12-2014,0,0,0,0,0,0
21,7,14-12-2014,0,0,0,0,0,0
23,7,14-12-2014,0,0,0,0,0,0
24,7,14-12-2014,0,0,0,0,0,0
25,7,14-12-2014,0,0,0,0,0,0
1,6,13-12-2014,7263,850,1,0,0,0
2,6,13-12-2014,3375,350,1,0,0,0
3,6,13-12-2014,6621,775,1,0,0,0
4,6,13-12-2014,11953,1634,1,0,0,0
5,6,13-12-2014,2572,281,1,0,0,0
6,6,13-12-2014,4082,401,1,0,0,0
7,6,13-12-2014,7776,751,1,0,0,0
8,6,13-12-2014,4457,509,1,0,0,0
9,6,13-12-2014,7674,681,1,0,0,0
10,6,13-12-2014,6041,615,1,0,0,0
11,6,13-12-2014,12380,1448,1,0,0,0
12,6,13-12-2014,9062,1089,1,0,0,0
14,6,13-12-2014,4369,499,1,0,0,0
15,6,13-12-2014,7534,727,1,0,0,0
16,6,13-12-2014,7106,764,1,0,0,0
17,6,13-12-2014,4270,524,1,0,0,0
18,6,13-12-2014,5848,565,1,0,0,0
19,6,13-12-2014,5425,506,1,0,0,0
21,6,13-12-2014,6560,614,1,0,0,0
23,6,13-12-2014,4789,437,1,0,0,0
24,6,13-12-2014,10356,871,1,0,0,0
25,6,13-12-2014,9542,1334,1,0,0,0
1,5,12-12-2014,5269,617,1,0,0,0
2,5,12-12-2014,4407,497,1,0,0,0
3,5,12-12-2014,5481,604,1,0,0,0
4,5,12-12-2014,8403,1249,1,0,0,0
5,5,12-12-2014,5355,583,1,0,0,0
6,5,12-12-2014,5079,596,1,0,0,0
7,5,12-12-2014,8593,810,1,0,0,0
8,5,12-12-2014,5008,590,1,0,0,0
9,5,12-12-2014,6177,485,1,0,0,0
10,5,12-12-2014,5211,557,1,0,0,0
11,5,12-12-2014,8834,1087,1,0,0,0
12,5,12-12-2014,6015,694,1,0,0,0
14,5,12-12-2014,4764,572,1,0,0,0
15,5,12-12-2014,6624,662,1,0,0,0
16,5,12-12-2014,8662,930,1,0,0,0
17,5,12-12-2014,6415,769,1,0,0,0
18,5,12-12-2014,8421,828,1,0,0,0
19,5,12-12-2014,6375,602,1,0,0,0
21,5,12-12-2014,4858,508,1,0,0,0
23,5,12-12-2014,5529,481,1,0,0,0
24,5,12-12-2014,9009,749,1,0,0,0
25,5,12-12-2014,10232,1475,1,0,0,0
1,4,11-12-2014,5060,587,1,0,0,0
2,4,11-12-2014,4629,539,1,0,0,0
3,4,11-12-2014,6363,723,1,0,0,0
4,4,11-12-2014,8522,1228,1,0,0,0
5,4,11-12-2014,4929,544,1,0,0,0
6,4,11-12-2014,4394,544,1,0,0,0
7,4,11-12-2014,7826,823,1,0,0,0
8,4,11-12-2014,6076,808,1,0,0,0
9,4,11-12-2014,6451,552,1,0,0,0
10,4,11-12-2014,4621,516,1,0,0,0
11,4,11-12-2014,8876,1139,1,0,0,0
12,4,11-12-2014,7026,883,1,0,0,0
14,4,11-12-2014,4743,586,1,0,0,0
15,4,11-12-2014,5870,545,1,0,0,0
16,4,11-12-2014,7718,890,1,0,0,0
17,4,11-12-2014,5581,719,1,0,0,0
18,4,11-12-2014,6985,740,1,0,0,0
19,4,11-12-2014,5637,609,1,0,0,0
21,4,11-12-2014,4106,439,1,0,0,0
23,4,11-12-2014,5287,486,1,0,0,0
24,4,11-12-2014,8234,732,1,0,0,0
25,4,11-12-2014,10342,1495,1,0,0,0
1,3,10-12-2014,4915,619,1,0,0,0
2,3,10-12-2014,5830,717,1,0,0,0
3,3,10-12-2014,5256,635,1,0,0,0
4,3,10-12-2014,8042,1157,1,0,0,0
5,3,10-12-2014,5345,602,1,0,0,0
6,3,10-12-2014,4735,569,1,0,0,0
7,3,10-12-2014,7521,767,1,0,0,0
8,3,10-12-2014,5649,662,1,0,0,0
9,3,10-12-2014,6259,521,1,0,0,0
10,3,10-12-2014,5268,581,1,0,0,0
11,3,10-12-2014,9313,1260,1,0,0,0
12,3,10-12-2014,6561,844,1,0,0,0
14,3,10-12-2014,5354,609,1,0,0,0
15,3,10-12-2014,5940,585,1,0,0,0
16,3,10-12-2014,7575,844,1,0,0,0
17,3,10-12-2014,5738,721,1,0,0,0
18,3,10-12-2014,7802,787,1,0,0,0
19,3,10-12-2014,5801,617,1,0,0,0
21,3,10-12-2014,4559,431,1,0,0,0
23,3,10-12-2014,3962,389,1,0,0,0
24,3,10-12-2014,9368,791,1,0,0,0
25,3,10-12-2014,9472,1432,1,0,0,0
1,2,09-12-2014,4345,559,1,0,0,0
2,2,09-12-2014,5264,596,1,0,0,0
3,2,09-12-2014,6446,785,1,0,0,0
4,2,09-12-2014,8426,1197,1,0,0,0
5,2,09-12-2014,5183,587,1,0,0,0
6,2,09-12-2014,4930,612,1,0,0,0
7,2,09-12-2014,8891,1013,1,0,0,0
8,2,09-12-2014,6751,798,1,0,0,0
9,2,09-12-2014,5380,533,1,0,0,0
10,2,09-12-2014,5636,613,1,0,0,0
11,2,09-12-2014,10423,1381,1,0,0,0
12,2,09-12-2014,8191,992,1,0,0,0
14,2,09-12-2014,5514,654,1,0,0,0
15,2,09-12-2014,6171,649,1,0,0,0
16,2,09-12-2014,8673,958,1,0,0,0
17,2,09-12-2014,7386,893,1,0,0,0
18,2,09-12-2014,6787,745,1,0,0,0
19,2,09-12-2014,6358,659,1,0,0,0
21,2,09-12-2014,5345,428,1,0,0,0
23,2,09-12-2014,4327,401,1,0,0,0
24,2,09-12-2014,10023,867,1,0,0,0
25,2,09-12-2014,9659,1531,1,0,0,0
1,1,08-12-2014,4884,610,1,0,0,0
2,1,08-12-2014,4821,616,1,0,0,0
3,1,08-12-2014,5792,738,1,0,0,0
4,1,08-12-2014,9556,1310,1,0,0,0
5,1,08-12-2014,4989,598,1,0,0,0
6,1,08-12-2014,5859,641,1,0,0,0
7,1,08-12-2014,9558,1040,1,0,0,0
8,1,08-12-2014,6852,792,1,0,0,0
9,1,08-12-2014,7026,636,1,0,0,0
10,1,08-12-2014,5202,599,1,0,0,0
11,1,08-12-2014,9152,1146,1,0,0,0
12,1,08-12-2014,7696,949,1,0,0,0
14,1,08-12-2014,5891,753,1,0,0,0
15,1,08-12-2014,6200,642,1,0,0,0
16,1,08-12-2014,8488,959,1,0,0,0
17,1,08-12-2014,6574,848,1,0,0,0
18,1,08-12-2014,7287,822,1,0,0,0
19,1,08-12-2014,7169,699,1,0,0,0
21,1,08-12-2014,4367,446,1,0,0,0
23,1,08-12-2014,4453,423,1,0,0,0
24,1,08-12-2014,8435,770,1,0,0,0
25,1,08-12-2014,11056,1676,1,0,0,0
1,7,07-12-2014,0,0,0,0,0,0
2,7,07-12-2014,0,0,0,0,0,0
3,7,07-12-2014,0,0,0,0,0,0
4,7,07-12-2014,0,0,0,0,0,0
5,7,07-12-2014,0,0,0,0,0,0
6,7,07-12-2014,0,0,0,0,0,0
7,7,07-12-2014,0,0,0,0,0,0
8,7,07-12-2014,0,0,0,0,0,0
9,7,07-12-2014,0,0,0,0,0,0
10,7,07-12-2014,0,0,0,0,0,0
11,7,07-12-2014,0,0,0,0,0,0
12,7,07-12-2014,0,0,0,0,0,0
14,7,07-12-2014,0,0,0,0,0,0
15,7,07-12-2014,0,0,0,0,0,0
16,7,07-12-2014,0,0,0,0,0,0
17,7,07-12-2014,0,0,0,0,0,0
18,7,07-12-2014,0,0,0,0,0,0
19,7,07-12-2014,0,0,0,0,0,0
21,7,07-12-2014,0,0,0,0,0,0
23,7,07-12-2014,0,0,0,0,0,0
24,7,07-12-2014,0,0,0,0,0,0
25,7,07-12-2014,0,0,0,0,0,0
1,6,06-12-2014,6185,746,1,0,0,0
2,6,06-12-2014,2914,386,1,0,0,0
3,6,06-12-2014,7669,947,1,0,0,0
4,6,06-12-2014,11624,1556,1,0,0,0
5,6,06-12-2014,3054,392,1,0,0,0
6,6,06-12-2014,4530,448,1,0,0,0
7,6,06-12-2014,7000,739,1,0,0,0
8,6,06-12-2014,5486,660,1,0,0,0
9,6,06-12-2014,7545,641,1,0,0,0
10,6,06-12-2014,5292,545,1,0,0,0
11,6,06-12-2014,10957,1455,1,0,0,0
12,6,06-12-2014,8269,1091,1,0,0,0
14,6,06-12-2014,3911,464,1,0,0,0
15,6,06-12-2014,5960,640,1,0,0,0
16,6,06-12-2014,6990,708,1,0,0,0
17,6,06-12-2014,4174,541,1,0,0,0
18,6,06-12-2014,5236,571,1,0,0,0
19,6,06-12-2014,5010,486,1,0,0,0
21,6,06-12-2014,5392,551,1,0,0,0
23,6,06-12-2014,5141,494,1,0,0,0
24,6,06-12-2014,8707,794,1,0,0,0
25,6,06-12-2014,9766,1331,1,0,0,0
1,5,05-12-2014,6207,712,1,1,0,0
2,5,05-12-2014,6385,676,1,1,0,0
3,5,05-12-2014,10190,1096,1,1,0,0
4,5,05-12-2014,11831,1574,1,1,0,0
5,5,05-12-2014,7606,744,1,1,0,0
6,5,05-12-2014,8320,823,1,1,0,0
7,5,05-12-2014,15268,1317,1,1,0,0
8,5,05-12-2014,8258,879,1,1,0,0
9,5,05-12-2014,8834,723,1,1,0,0
10,5,05-12-2014,7349,726,1,1,0,0
11,5,05-12-2014,15072,1758,1,1,0,0
12,5,05-12-2014,13388,1315,1,1,0,0
14,5,05-12-2014,7591,825,1,1,0,0
15,5,05-12-2014,11490,957,1,1,0,0
16,5,05-12-2014,13029,1163,1,1,0,0
17,5,05-12-2014,9285,1023,1,1,0,0
18,5,05-12-2014,11416,1050,1,1,0,0
19,5,05-12-2014,9969,867,1,1,0,0
21,5,05-12-2014,7279,636,1,1,0,0
23,5,05-12-2014,8048,667,1,1,0,0
24,5,05-12-2014,14169,1118,1,1,0,0
25,5,05-12-2014,13342,1733,1,1,0,0
1,4,04-12-2014,7016,681,1,1,0,0
2,4,04-12-2014,6661,670,1,1,0,0
3,4,04-12-2014,8766,935,1,1,0,0
4,4,04-12-2014,10657,1350,1,1,0,0
5,4,04-12-2014,5792,602,1,1,0,0
6,4,04-12-2014,6371,711,1,1,0,0
7,4,04-12-2014,11994,1069,1,1,0,0
8,4,04-12-2014,8417,896,1,1,0,0
9,4,04-12-2014,7665,637,1,1,0,0
10,4,04-12-2014,6665,653,1,1,0,0
11,4,04-12-2014,13585,1536,1,1,0,0
12,4,04-12-2014,11438,1138,1,1,0,0
14,4,04-12-2014,6552,714,1,1,0,0
15,4,04-12-2014,9976,811,1,1,0,0
16,4,04-12-2014,10622,1035,1,1,0,0
17,4,04-12-2014,8093,844,1,1,0,0
18,4,04-12-2014,9155,828,1,1,0,0
19,4,04-12-2014,9274,765,1,1,0,0
21,4,04-12-2014,7640,582,1,1,0,0
23,4,04-12-2014,7056,589,1,1,0,0
24,4,04-12-2014,11925,966,1,1,0,0
25,4,04-12-2014,13458,1768,1,1,0,0
1,3,03-12-2014,6454,695,1,1,0,0
2,3,03-12-2014,7533,769,1,1,0,0
3,3,03-12-2014,9694,962,1,1,0,0
4,3,03-12-2014,11716,1429,1,1,0,0
5,3,03-12-2014,6096,652,1,1,0,0
6,3,03-12-2014,6906,670,1,1,0,0
7,3,03-12-2014,10229,914,1,1,0,0
8,3,03-12-2014,7504,751,1,1,0,0
9,3,03-12-2014,7785,633,1,1,0,0
10,3,03-12-2014,6532,619,1,1,0,0
11,3,03-12-2014,12964,1515,1,1,0,0
12,3,03-12-2014,10471,1055,1,1,0,0
14,3,03-12-2014,6691,666,1,1,0,0
15,3,03-12-2014,8359,723,1,1,0,0
16,3,03-12-2014,11031,1011,1,1,0,0
17,3,03-12-2014,9056,927,1,1,0,0
18,3,03-12-2014,8285,802,1,1,0,0
19,3,03-12-2014,7906,708,1,1,0,0
21,3,03-12-2014,6181,539,1,1,0,0
23,3,03-12-2014,5813,469,1,1,0,0
24,3,03-12-2014,12594,957,1,1,0,0
25,3,03-12-2014,12497,1738,1,1,0,0
1,2,02-12-2014,6467,717,1,1,0,0
2,2,02-12-2014,7664,751,1,1,0,0
3,2,02-12-2014,9044,932,1,1,0,0
4,2,02-12-2014,11114,1456,1,1,0,0
5,2,02-12-2014,7180,688,1,1,0,0
6,2,02-12-2014,7092,700,1,1,0,0
7,2,02-12-2014,13115,1187,1,1,0,0
8,2,02-12-2014,8470,871,1,1,0,0
9,2,02-12-2014,8378,684,1,1,0,0
10,2,02-12-2014,7432,700,1,1,0,0
11,2,02-12-2014,12880,1473,1,1,0,0
12,2,02-12-2014,11623,1123,1,1,0,0
14,2,02-12-2014,8022,844,1,1,0,0
15,2,02-12-2014,9850,795,1,1,0,0
16,2,02-12-2014,11217,1099,1,1,0,0
17,2,02-12-2014,11924,1145,1,1,0,0
18,2,02-12-2014,9319,812,1,1,0,0
19,2,02-12-2014,9471,774,1,1,0,0
21,2,02-12-2014,6445,553,1,1,0,0
23,2,02-12-2014,7109,555,1,1,0,0
24,2,02-12-2014,12584,1007,1,1,0,0
25,2,02-12-2014,14952,1980,1,1,0,0
1,1,01-12-2014,7380,723,1,1,0,0
2,1,01-12-2014,8674,783,1,1,0,0
3,1,01-12-2014,10369,962,1,1,0,0
4,1,01-12-2014,12359,1608,1,1,0,0
5,1,01-12-2014,8580,783,1,1,0,0
6,1,01-12-2014,7638,788,1,1,0,0
7,1,01-12-2014,14130,1230,1,1,0,0
8,1,01-12-2014,10924,1043,1,1,0,0
9,1,01-12-2014,10854,800,1,1,0,0
10,1,01-12-2014,7440,732,1,1,0,0
11,1,01-12-2014,14087,1587,1,1,0,0
12,1,01-12-2014,13479,1333,1,1,0,0
14,1,01-12-2014,9141,914,1,1,0,0
15,1,01-12-2014,11669,950,1,1,0,0
16,1,01-12-2014,12640,1166,1,1,0,0
17,1,01-12-2014,13042,1242,1,1,0,0
18,1,01-12-2014,11242,958,1,1,0,0
19,1,01-12-2014,8547,797,1,1,0,0
21,1,01-12-2014,7730,623,1,1,0,0
23,1,01-12-2014,9415,699,1,1,0,0
24,1,01-12-2014,15046,1169,1,1,0,0
25,1,01-12-2014,16037,2049,1,1,0,0
1,7,30-11-2014,0,0,0,0,0,0
2,7,30-11-2014,0,0,0,0,0,0
3,7,30-11-2014,0,0,0,0,0,0
4,7,30-11-2014,0,0,0,0,0,0
5,7,30-11-2014,0,0,0,0,0,0
6,7,30-11-2014,0,0,0,0,0,0
7,7,30-11-2014,0,0,0,0,0,0
8,7,30-11-2014,0,0,0,0,0,0
9,7,30-11-2014,0,0,0,0,0,0
10,7,30-11-2014,0,0,0,0,0,0
11,7,30-11-2014,0,0,0,0,0,0
12,7,30-11-2014,0,0,0,0,0,0
14,7,30-11-2014,0,0,0,0,0,0
15,7,30-11-2014,0,0,0,0,0,0
16,7,30-11-2014,0,0,0,0,0,0
17,7,30-11-2014,0,0,0,0,0,0
18,7,30-11-2014,0,0,0,0,0,0
19,7,30-11-2014,0,0,0,0,0,0
21,7,30-11-2014,0,0,0,0,0,0
23,7,30-11-2014,0,0,0,0,0,0
24,7,30-11-2014,0,0,0,0,0,0
25,7,30-11-2014,0,0,0,0,0,0
1,6,29-11-2014,7066,749,1,0,0,0
2,6,29-11-2014,3424,372,1,0,0,0
3,6,29-11-2014,6702,723,1,0,0,0
4,6,29-11-2014,14052,1813,1,0,0,0
5,6,29-11-2014,2435,270,1,0,0,0
6,6,29-11-2014,5105,494,1,0,0,0
7,6,29-11-2014,8884,791,1,0,0,0
8,6,29-11-2014,5052,542,1,0,0,0
9,6,29-11-2014,9096,716,1,0,0,0
10,6,29-11-2014,6517,673,1,0,0,0
11,6,29-11-2014,14461,1802,1,0,0,0
12,6,29-11-2014,9862,1099,1,0,0,0
14,6,29-11-2014,4524,497,1,0,0,0
15,6,29-11-2014,8189,821,1,0,0,0
16,6,29-11-2014,8057,825,1,0,0,0
17,6,29-11-2014,3902,505,1,0,0,0
18,6,29-11-2014,5953,608,1,0,0,0
19,6,29-11-2014,6595,566,1,0,0,0
21,6,29-11-2014,7140,599,1,0,0,0
23,6,29-11-2014,5504,513,1,0,0,0
24,6,29-11-2014,10618,862,1,0,0,0
25,6,29-11-2014,10517,1535,1,0,0,0
1,5,28-11-2014,7195,711,1,1,0,0
2,5,28-11-2014,6062,608,1,1,0,0
3,5,28-11-2014,9700,953,1,1,0,0
4,5,28-11-2014,13832,1649,1,1,0,0
5,5,28-11-2014,6875,689,1,1,0,0
6,5,28-11-2014,7168,757,1,1,0,0
7,5,28-11-2014,13668,1212,1,1,0,0
8,5,28-11-2014,8094,812,1,1,0,0
9,5,28-11-2014,9248,740,1,1,0,0
10,5,28-11-2014,7421,732,1,1,0,0
11,5,28-11-2014,12956,1609,1,1,0,0
12,5,28-11-2014,10553,1147,1,1,0,0
14,5,28-11-2014,7641,806,1,1,0,0
15,5,28-11-2014,9917,850,1,1,0,0
16,5,28-11-2014,11005,1098,1,1,0,0
17,5,28-11-2014,9801,1031,1,1,0,0
18,5,28-11-2014,10318,1002,1,1,0,0
19,5,28-11-2014,11021,873,1,1,0,0
21,5,28-11-2014,7195,601,1,1,0,0
23,5,28-11-2014,7707,603,1,1,0,0
24,5,28-11-2014,13463,1048,1,1,0,0
25,5,28-11-2014,14961,1821,1,1,0,0
1,4,27-11-2014,6144,668,1,1,0,0
2,4,27-11-2014,6119,644,1,1,0,0
3,4,27-11-2014,8508,896,1,1,0,0
4,4,27-11-2014,10512,1344,1,1,0,0
5,4,27-11-2014,5670,589,1,1,0,0
6,4,27-11-2014,6392,670,1,1,0,0
7,4,27-11-2014,10409,1064,1,1,0,0
8,4,27-11-2014,9182,956,1,1,0,0
9,4,27-11-2014,7656,666,1,1,0,0
10,4,27-11-2014,7212,684,1,1,0,0
11,4,27-11-2014,11347,1354,1,1,0,0
12,4,27-11-2014,9680,1078,1,1,0,0
14,4,27-11-2014,6613,737,1,1,0,0
15,4,27-11-2014,9128,808,1,1,0,0
16,4,27-11-2014,10042,1015,1,1,0,0
17,4,27-11-2014,8058,909,1,1,0,0
18,4,27-11-2014,7734,727,1,1,0,0
19,4,27-11-2014,9844,818,1,1,0,0
21,4,27-11-2014,7069,562,1,1,0,0
23,4,27-11-2014,7316,581,1,1,0,0
24,4,27-11-2014,10690,899,1,1,0,0
25,4,27-11-2014,12323,1721,1,1,0,0
1,3,26-11-2014,5328,611,1,1,0,0
2,3,26-11-2014,7588,828,1,1,0,0
3,3,26-11-2014,8397,837,1,1,0,0
4,3,26-11-2014,10083,1291,1,1,0,0
5,3,26-11-2014,6187,688,1,1,0,0
6,3,26-11-2014,5855,630,1,1,0,0
7,3,26-11-2014,10756,1002,1,1,0,0
8,3,26-11-2014,8065,839,1,1,0,0
9,3,26-11-2014,7164,587,1,1,0,0
10,3,26-11-2014,6882,655,1,1,0,0
11,3,26-11-2014,11103,1428,1,1,0,0
12,3,26-11-2014,10070,1107,1,1,0,0
14,3,26-11-2014,6416,664,1,1,0,0
15,3,26-11-2014,7828,719,1,1,0,0
16,3,26-11-2014,9246,995,1,1,0,0
17,3,26-11-2014,7646,853,1,1,0,0
18,3,26-11-2014,8298,839,1,1,0,0
19,3,26-11-2014,8502,700,1,1,0,0
21,3,26-11-2014,6293,543,1,1,0,0
23,3,26-11-2014,6210,517,1,1,0,0
24,3,26-11-2014,10490,913,1,1,0,0
25,3,26-11-2014,11513,1559,1,1,0,0
1,2,25-11-2014,5815,610,1,1,0,0
2,2,25-11-2014,6511,632,1,1,0,0
3,2,25-11-2014,8577,875,1,1,0,0
4,2,25-11-2014,11402,1430,1,1,0,0
5,2,25-11-2014,6338,641,1,1,0,0
6,2,25-11-2014,6974,731,1,1,0,0
7,2,25-11-2014,11391,1143,1,1,0,0
8,2,25-11-2014,7840,853,1,1,0,0
9,2,25-11-2014,7689,678,1,1,0,0
10,2,25-11-2014,6454,657,1,1,0,0
11,2,25-11-2014,10568,1366,1,1,0,0
12,2,25-11-2014,10692,1098,1,1,0,0
14,2,25-11-2014,6732,733,1,1,0,0
15,2,25-11-2014,7760,694,1,1,0,0
16,2,25-11-2014,9932,990,1,1,0,0
17,2,25-11-2014,9463,1027,1,1,0,0
18,2,25-11-2014,7934,783,1,1,0,0
19,2,25-11-2014,8324,743,1,1,0,0
21,2,25-11-2014,7095,561,1,1,0,0
23,2,25-11-2014,6550,510,1,1,0,0
24,2,25-11-2014,10142,870,1,1,0,0
25,2,25-11-2014,12547,1751,1,1,0,0
1,1,24-11-2014,6527,694,1,1,0,0
2,1,24-11-2014,7038,696,1,1,0,0
3,1,24-11-2014,8886,855,1,1,0,0
4,1,24-11-2014,12053,1541,1,1,0,0
5,1,24-11-2014,7528,737,1,1,0,0
6,1,24-11-2014,7877,779,1,1,0,0
7,1,24-11-2014,11482,1134,1,1,0,0
8,1,24-11-2014,9339,966,1,1,0,0
9,1,24-11-2014,9911,800,1,1,0,0
10,1,24-11-2014,7774,737,1,1,0,0
11,1,24-11-2014,11548,1407,1,1,0,0
12,1,24-11-2014,10882,1147,1,1,0,0
14,1,24-11-2014,8407,889,1,1,0,0
15,1,24-11-2014,9015,788,1,1,0,0
16,1,24-11-2014,9855,1064,1,1,0,0
17,1,24-11-2014,10899,1064,1,1,0,0
18,1,24-11-2014,9177,871,1,1,0,0
19,1,24-11-2014,10304,845,1,1,0,0
21,1,24-11-2014,7987,648,1,1,0,0
23,1,24-11-2014,7809,593,1,1,0,0
24,1,24-11-2014,12540,1016,1,1,0,0
25,1,24-11-2014,12472,1767,1,1,0,0
1,7,23-11-2014,0,0,0,0,0,0
2,7,23-11-2014,0,0,0,0,0,0
3,7,23-11-2014,0,0,0,0,0,0
4,7,23-11-2014,0,0,0,0,0,0
5,7,23-11-2014,0,0,0,0,0,0
6,7,23-11-2014,0,0,0,0,0,0
7,7,23-11-2014,0,0,0,0,0,0
8,7,23-11-2014,0,0,0,0,0,0
9,7,23-11-2014,0,0,0,0,0,0
10,7,23-11-2014,0,0,0,0,0,0
11,7,23-11-2014,0,0,0,0,0,0
12,7,23-11-2014,0,0,0,0,0,0
14,7,23-11-2014,0,0,0,0,0,0
15,7,23-11-2014,0,0,0,0,0,0
16,7,23-11-2014,0,0,0,0,0,0
17,7,23-11-2014,0,0,0,0,0,0
18,7,23-11-2014,0,0,0,0,0,0
19,7,23-11-2014,0,0,0,0,0,0
21,7,23-11-2014,0,0,0,0,0,0
23,7,23-11-2014,0,0,0,0,0,0
24,7,23-11-2014,0,0,0,0,0,0
25,7,23-11-2014,0,0,0,0,0,0
1,6,22-11-2014,5849,678,1,0,0,0
2,6,22-11-2014,3085,367,1,0,0,0
3,6,22-11-2014,3989,467,1,0,0,0
4,6,22-11-2014,10552,1509,1,0,0,0
5,6,22-11-2014,2225,223,1,0,0,0
6,6,22-11-2014,3562,418,1,0,0,0
7,6,22-11-2014,6059,611,1,0,0,0
8,6,22-11-2014,3591,418,1,0,0,0
9,6,22-11-2014,6619,606,1,0,0,0
10,6,22-11-2014,5337,525,1,0,0,0
11,6,22-11-2014,7482,929,1,0,0,0
12,6,22-11-2014,7308,823,1,0,0,0
14,6,22-11-2014,3385,416,1,0,0,0
15,6,22-11-2014,5098,573,1,0,0,0
16,6,22-11-2014,5258,610,1,0,0,0
17,6,22-11-2014,3045,399,1,0,0,0
18,6,22-11-2014,4621,524,1,0,0,0
19,6,22-11-2014,4073,403,1,0,0,0
21,6,22-11-2014,4898,504,1,0,0,0
23,6,22-11-2014,4247,419,1,0,0,0
24,6,22-11-2014,6699,678,1,0,0,0
25,6,22-11-2014,8541,1247,1,0,0,0
1,5,21-11-2014,4594,570,1,0,0,0
2,5,21-11-2014,3978,472,1,0,0,0
3,5,21-11-2014,5865,737,1,0,0,0
4,5,21-11-2014,8319,1217,1,0,0,0
5,5,21-11-2014,4456,539,1,0,0,0
6,5,21-11-2014,4561,574,1,0,0,0
7,5,21-11-2014,7806,926,1,0,0,0
8,5,21-11-2014,4958,620,1,0,0,0
9,5,21-11-2014,6359,596,1,0,0,0
10,5,21-11-2014,5577,586,1,0,0,0
11,5,21-11-2014,7816,1062,1,0,0,0
12,5,21-11-2014,6740,839,1,0,0,0
14,5,21-11-2014,5438,676,1,0,0,0
15,5,21-11-2014,6023,635,1,0,0,0
16,5,21-11-2014,7459,843,1,0,0,0
17,5,21-11-2014,5177,723,1,0,0,0
18,5,21-11-2014,6644,783,1,0,0,0
19,5,21-11-2014,5823,618,1,0,0,0
21,5,21-11-2014,3956,422,1,0,0,0
23,5,21-11-2014,4413,410,1,0,0,0
24,5,21-11-2014,8276,759,1,0,0,0
25,5,21-11-2014,9102,1417,1,0,0,0
1,4,20-11-2014,4963,635,1,0,0,0
2,4,20-11-2014,4527,535,1,0,0,0
3,4,20-11-2014,6019,734,1,0,0,0
4,4,20-11-2014,7866,1184,1,0,0,0
5,4,20-11-2014,5291,624,1,0,0,0
